Date,Key West,Barrow
1/1/2009,68.4,-6.3
1/2/2009,72.4,-16.6
1/3/2009,72.4,-15.2
1/4/2009,72.1,-12.9
1/5/2009,73.2,-15.3
1/6/2009,73.8,-20.1
1/7/2009,77.6,-14.7
1/8/2009,70.2,-16.3
1/9/2009,70.4,-16.2
1/10/2009,70.5,-20.2
1/11/2009,74.7,-31
1/12/2009,73.8,-27.6
1/13/2009,76.1,-18.4
1/14/2009,68.3,-7.2
1/15/2009,64.3,3.6
1/16/2009,64.8,2.4
1/17/2009,63.5,2.4
1/18/2009,65.5,5.7
1/19/2009,65.4,-11.9
1/20/2009,68.4,-21.1
1/21/2009,58.5,-23.8
1/22/2009,55.7,-9.7
1/23/2009,57.8,-11.2
1/24/2009,65.5,-1.6
1/25/2009,67,7.2
1/26/2009,68.1,-13.1
1/27/2009,69.8,-19.1
1/28/2009,72.7,-9.2
1/29/2009,73,-20.7
1/30/2009,71.2,-13.3
1/31/2009,59.9,-18.3
2/1/2009,62.4,-21
2/2/2009,68.1,-20.9
2/3/2009,66.1,-12.3
2/4/2009,61.8,-21
2/5/2009,53,-21.4
2/6/2009,56.8,-23.7
2/7/2009,62.2,-25.6
2/8/2009,65.5,-30
2/9/2009,67,-38.4
2/10/2009,68.2,-36.8
2/11/2009,71.7,-40.8
2/12/2009,73.7,-39.2
2/13/2009,69,-20.7
2/14/2009,68.9,-8.5
2/15/2009,68.5,-12.8
2/16/2009,67.9,-8.7
2/17/2009,67.8,-11.3
2/18/2009,70.6,-22
2/19/2009,70.9,-3.6
2/20/2009,67,-7.8
2/21/2009,65.8,-23.7
2/22/2009,69.9,-10.2
2/23/2009,68.5,10
2/24/2009,68.4,18.2
2/25/2009,69.9,1.1
2/26/2009,69.4,-4.9
2/27/2009,70.7,-15.3
2/28/2009,72.9,4.9
3/1/2009,71.8,-1.2
3/2/2009,60.9,-22
3/3/2009,60.5,-22.2
3/4/2009,63.5,-18.7
3/5/2009,66.6,-14.1
3/6/2009,68.6,-8
3/7/2009,70,-20.4
3/8/2009,72.4,-24.5
3/9/2009,72.4,-5.1
3/10/2009,72.8,1.2
3/11/2009,73.6,-0.6
3/12/2009,72.5,-15.1
3/13/2009,74.2,-19.1
3/14/2009,75.4,-22.9
3/15/2009,75.9,-26.6
3/16/2009,76.3,-19.6
3/17/2009,74.4,-17
3/18/2009,73.5,-12.9
3/19/2009,73.2,-16.9
3/20/2009,73.7,-18
3/21/2009,73.8,-28.1
3/22/2009,71.5,-10.1
3/23/2009,71.3,-13.2
