state,fips,arm,hand,thumb,indexfinger,middlefinger,ringfinger,pinky,leg,foot,bigtoe,eye,ear
Alabama,AL,48840,37400,13640,9460,6820,4840,3520,44000,30580,7040,27280,11660
Alaska,AK,106200,95580,40710,19470,19470,8850,8850,70800,44250,8850,N/A,N/A
Arizona,AZ,143148,119290,35787,21472.2,16700.6,11929,9543.2,119290,95432,16700.6,71574,47716
Arkansas,AR,115168,86376,34456,20296,17464,11328,8968,86848,61832,15104,49560,19824
California,CA,190602.5,153482.5,42050,14645,14645,6090,6090,92582.5,48140,6090,N/A,N/A
Colorado,CO,162869.28,162869.28,13851.5,7202.78,4986.54,3047.33,3601.39,162869.28,81435.67,7202.78,N/A,9696.05
Connecticut,CT,206128,166488,62433,35676,28739,20811,16847,153605,123875,27748,155587,34685
Delaware,DE,166392.5,146425.4,49917.75,33278.5,26622.8,19967.1,13311.4,166392.5,106491.2,26622.8,133114,49917.75
District of Columbia,DC,342304.56,267699.72,83381.88,51199.4,33645.32,27793.96,17554.08,315973.44,225277.36,42422.36,175540.8,57050.76
Florida,FL,186292.5,163558.5,42310.5,14524.5,14524.5,6315,6315,110512.5,65044.5,6315,49888.5,N/A
Georgia,GA,118125,84000,31500,21000,18375,15750,13125,118125,70875,15750,78750,39375
Hawaii,HI,245232,191784,58950,36156,23580,19650,11790,226368,161130,29868,125760,40872
Idaho,ID,113685,102316.5,41684.5,26526.5,20842.25,9473.75,5684.25,75790,53053,15915.9,66316.25,N/A
Illinois,IL,439858.17,279166.95,103496.04,58556.97,51748.02,38768.33,29959.38,403089.84,227418.93,51748.02,235589.67,39709.98
Indiana,IN,202050,144810,37208,24272,21238,18204,12136,173430,116190,37208,116190,23755
Iowa,IA,361750,274930,86820,50645,43410,36175,28940,318340,217050,57880,202580,72350
Kansas,KS,75000,75000,39204,24175.8,19602,13068,9801,75000,75000,19602,71280,17820
Kentucky,KY,402277.2,402277.2,195670,81374.75,81374.75,24042.25,24042.25,402277.2,212682.75,24042.25,N/A,N/A
Louisiana,LA,126000,94500,31500,18900,12600,12600,12600,110250,78750,12600,63000,N/A
Maine,ME,199692.15,159605.25,48252.75,28209.3,24497.55,16331.7,11877.6,159605.25,120260.7,24497.55,120260.7,N/A
Maryland,MD,301600,251802,33500,6720,5880,5040,4200,301600,251802,6720,251802,41875
Massachusetts,MA,52244.57,41309.66,16523.86,10327.42,8261.93,4130.97,2065.48,47384.61,35234.71,6342.25,47384.61,35234.71
Michigan,MI,220580,176300,53300,31160,27060,18040,13120,176300,132840,27060,132840,N/A
Minnesota,MN,114000,89100,20900,9350,9350,3750,3750,48000,26000,6400,22800,N/A
Mississippi,MS,92718,69538.5,27815.4,16225.65,13907.7,9271.8,6953.85,81128.25,57948.75,13907.7,46359,18543.6
Missouri,MO,115100.3,86821.35,29767.32,22325.49,17364.27,17364.27,10914.68,102697.25,74418.3,19844.88,69457.08,24309.98
Montana,MT,120360,111864,67968,50976,50976,42480,42480,92040,70800,42480,N/A,N/A
Nebraska,NE,171225,133175,45660,26635,22830,15220,11415,163615,114150,22830,95125,38050
Nevada,NV,859634.32,738966.6,136011.45,68005.65,68005.65,30912.4,30912.4,457418.1,216088.32,30912.4,N/A,N/A
New Hampshire,NH,294840,265356,106704,65988,53352,26676,12636,196560,137592,25272,117936,42120
New Jersey,NJ,268983,163391,22230,14820,11856,8892,5928,256757,136344,11856,102600,13680
New Mexico,NM,152836,95522.5,42029.9,21397.04,16811.96,12991.06,10698.52,152836,87880.7,26746.3,99343.4,30567.2
New York,NY,252298.8,197310.6,60648.75,37197.9,24259.5,20216.25,12129.75,232891.2,165773.25,30728.7,129384,48519
North Carolina,NC,220880,184000,69000,41400,36800,23000,18400,184000,132480,32200,110400,64400
North Dakota,ND,148800,108800,20800,12800,9600,6400,5120,74880,48000,9600,48000,N/A
Ohio,OH,193950,150850,51720,30170,25860,17240,12930,172400,129300,25860,107750,21550
Oklahoma,OK,88825,71060,21318,12597,10659,7106,5491,88825,71060,10659,88825,35530
Oregon,OR,234079.95,199490.79,114348.23,95723.29,93062.59,82419.77,79759.06,199490.79,186187.26,90401.88,156919.51,124991.05
Pennsylvania,PA,389910,318585,95100,47550,38040,28530,26628,389910,237750,38040,261525,57060
Rhode Island,RI,56160,43920,13500,8280,5400,4500,3600,56160,36900,6840,28800,13500
South Carolina,SC,168531,141719.25,49793.25,30642,26811.75,19151.25,15321,149379.75,107247,26811.75,107247,61284
South Dakota,SD,141000,105750,35250,24675,21150,14100,10575,112800,88125,21150,105750,35250
Tennessee,TN,309096,278186.4,118486.8,56667.6,56667.6,25758,25758,206064,128790,25758,N/A,N/A
Texas,TX,108360,97524,39732,19866,19866,9030,9030,72240,45150,9030,43344,N/A
Utah,UT,98549,88536,35309,22134,17918,8959,4216,65875,46376,13702,63240,N/A
Vermont,VT,290871,261783.9,111500.55,53326.35,53326.35,24239.25,24239.25,193914,121196.25,24239.25,N/A,N/A
Virginia,VA,193400,145050,58020,33845,29010,19340,14505,169225,120875,29010,96700,48350
Washington,WA,118266.42,106439.73,42575.94,26609.97,21287.94,10643.97,5321.88,118266.42,82786.53,24835.95,47306.46,15768.75
West Virginia,WV,127660.8,106384,42553.6,21276.8,14893.76,10638.4,10638.4,127660.8,74468.8,21276.8,70213.44,47872.8
Wisconsin,WI,201250,161000,64400,24150,18112.5,10465,11270,161000,80500,26833.33,88550,17710
Wyoming,WY,90580.68,81522.61,34722.59,16606.46,16606.46,7548.39,7548.39,60387.12,37741.95,7548.39,N/A,N/A
