year,line,ship,start_date,end_date,symptoms,cause
2017,Oceania Cruises ,Regatta,3/29/17,4/14/17,diarrhea,Unknown
2017,Princess Cruises,Coral Princess,3/8/17,3/18/17,"vomiting, diarrhea",Norovirus
2016,Holland America Line,Oosterdam,11/3/16,11/18/16,"vomiting, diarrhea",Norovirus
2016,P&O Cruises,Adonia,10/16/16,10/23/16,"diarrhea, vomiting",Unknown
2016,Disney Cruise Line,Disney Wonder,4/27/16,5/1/16,vomiting and diarrhea,Norovirus
2016,Fred Olsen Cruise Lines,Balmoral,4/16/16,5/20/16,"vomiting, diarrhea",Norovirus
2016,Oceania Cruises,Oceania Riviera,3/20/16,4/2/16,"vomiting, diarrhea",Norovirus
2016,Norwegian Cruise Line,Norwegian Gem,3/12/16,3/22/16,"vomiting, diarrhea",Norovirus
2016,Silversea Cruises,Silver Spirit,3/3/16,3/21/16,"vomiting, diarrhea",Enterotoxigenic E. coli (ETEC)
2016,Carnival Cruise Line,Carnival Sunshine,2/21/16,3/5/16,"vomiting, diarrhea",Norovirus
2016,Royal Caribbean Cruise Line,Anthem of the Seas,2/21/16,3/4/16,"vomiting, diarrhea",Norovirus
2016,Princess Cruises,Ocean Princess,2/13/16,3/7/16,"vomiting, diarrhea",Norovirus and Enterotoxigenic E. coli (ETEC)
2016,Oceania Cruises,Oceania Riviera,2/12/16,2/22/16,"vomiting, diarrhea",Norovirus
2016,Oceania Cruises,Oceania Riviera,2/2/16,2/12/16,"vomiting, diarrhea",Norovirus
2016,Princess Cruises,Crown Princess,1/8/16,1/18/16,"vomiting, diarrhea",Norovirus
2015,Holland America Line,Veendam,12/20/15,12/27/15,"vomiting, diarrhea",Norovirus
2015,Princess Cruises,Caribbean Princess,12/13/15,12/20/15,"vomiting, diarrhea",Norovirus
2015,Oceania Cruises,Oceania Riviera,11/18/15,12/2/15,"vomiting, diarrhea",Norovirus
2015,Princess Cruises,Star Princess,4/29/15,5/14/15,"vomiting, diarrhea",Norovirus
2015,Oceania Cruises,Oceania Marina,4/21/15,5/7/15,"vomiting, diarrhea",Norovirus
2015,Holland America Line,ms Maasdam,4/17/15,5/1/15,"vomiting, diarrhea",Norovirus
2015,Princess Cruises,Coral Princess,4/12/15,4/27/15,"vomiting, diarrhea",Norovirus
2015,Royal Caribbean Cruise Line,Legend of the Seas,3/30/15,4/14/15,"vomiting, diarrhea",Norovirus
2015,Celebrity Cruises,Celebrity Infinity,3/29/15,4/13/15,"vomiting, diarrhea",Norovirus
2015,Norwegian Cruise Line,Norwegian Pearl,3/26/15,4/6/15,"vomiting, diarrhea",Norovirus
2015,Celebrity Cruises,Celebrity Equinox,2/13/15,2/23/15,"vomiting, diarrhea",Norovirus
2015,Royal Caribbean Cruise Line,Grandeur of the Seas,1/24/15,2/3/15,"vomiting, diarrhea",Norovirus
2014,Princess Cruises,Crown Princess,10/18/14,11/16/14,"Vomiting, diarrhea",Norovirus
2014,Princess Cruises,Crown Princess,4/5/14,4/12/14,"Vomiting, diarrhea",Norovirus and Enterotoxigenic E. coli (ETEC)
2014,Royal Caribbean Cruise Line,Grandeur of the Seas,4/5/14,4/12/14,"Vomiting, diarrhea",Norovirus
2014,Royal Caribbean Cruise Line,Grandeur of the Seas,3/28/14,4/5/14,"Vomiting, diarrhea",Norovirus
