IYEAR,NAME,DATETIME,LATITUDE,LONGITUDE,COMMODITY_SUBTYPE,FATAL,INJURE
2017,"ILLINOIS EXTENSION PIPELINE COMPANY, L.L.C. ",42857.43194,38.786414,-89.066666,,,
2017,ENTERPRISE CRUDE PIPELINE LLC,42857.13542,32.016096,-102.015804,,,
2017,MARATHON PIPE LINE LLC,42857.02431,40.772128,-81.410237,,,
2017,"PLAINS PIPELINE, L.P.",42855.72917,32.532367,-100.835248,,,
2017,"EXPRESS HOLDINGS (USA), LLC",42851.36111,43.968026,-107.874062,,,
2017,"BUCKEYE PARTNERS, LP",42849.30903,39.712652,-89.250835,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,
2017,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",42848.58333,38.76534,-89.04087,,,
2017,"PLAINS PIPELINE, L.P.",42846.88819,31.03428,-89.44975,,,
2017,ENTERPRISE CRUDE PIPELINE LLC,42846.54167,31.8998,-102.6292,,,
2017,"PLAINS PIPELINE, L.P.",42846.50764,35.99636,-98.139113,,,
2017,BP OIL PIPELINE CO,42846.25347,39.077109,-84.563409,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,
2017,"ONEOK NGL PIPELINE, LLC",42845.73194,33.194389,-97.805896,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,"BUCKEYE PARTNERS, LP",42845.58333,40.69673,-84.12671,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,
2017,ENTERPRISE PRODUCTS OPERATING LLC,42845.10764,30.01563056,-94.056325,GASOLINE (NON-ETHANOL),,
2017,CENTURION PIPELINE L.P.,42840.60417,33.72743,-101.87496,,,
2017,TESORO HIGH PLAINS PIPELINE COMPANY LLC,42840.47431,47.67125,-104.06379,,,
2017,SOUTHERN COMPANY PIPELINES,42838.57292,32.654068,-88.753655,,,
2017,ENTERPRISE CRUDE PIPELINE LLC,42838.5625,34.2374,-97.4937,,,
2017,ENTERPRISE PRODUCTS OPERATING LLC,42836.78403,38.9319,-109.4413,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,COLONIAL PIPELINE CO,42836.41667,37.75969817,-78.17389568,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,
2017,"PLAINS PIPELINE, L.P.",42836.33333,28.526011,-99.223482,,,
2017,"STATELINE CRUDE, LLC",42836.25,31.972507,-103.750274,,,
2017,"MAGELLAN PIPELINE COMPANY, LP",42835.73194,34.778088,-92.178797,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,
2017,"ONEOK NGL PIPELINE, LLC",42835.71181,32.778539,-104.243318,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,SOUTHERN COMPANY PIPELINES,42834.40139,32.654068,-88.753655,,,
2017,ENTERPRISE PRODUCTS OPERATING LLC,42833.90903,31.521032,-101.545231,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,"PLAINS PIPELINE, L.P.",42833.37847,32.014114,-102.02795,,,
2017,TESORO HIGH PLAINS PIPELINE COMPANY LLC,42833.29167,46.853902,-100.88768,,,
2017,"KINDER MORGAN LIQUID TERMINALS, LLC",42832.91667,38.844011,-90.085648,GASOLINE (NON-ETHANOL),,
2017,"ONEOK NGL PIPELINE, LLC",42832.69097,30.620296,-94.970013,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,SOUTHERN COMPANY PIPELINES,42832.63403,32.348372,-88.771227,,,
2017,"KINDER MORGAN LIQUID TERMINALS, LLC",42832.375,40.58889,-74.21437,GASOLINE (NON-ETHANOL),,
2017,VALERO REFINING COMPANY - CALIFORNIA,42830.77083,38.05445,-122.13996,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,
2017,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",42829.64583,44.77905,-98.45882,,,
2017,CITGO REFINING & CHEMICAL CO. L.P.,42828.48958,27.8078,-97.4385,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,
2017,PHILLIPS 66 PIPELINE LLC,42828.40972,35.324455,-119.650046,,,
2017,"EXPRESS HOLDINGS (USA), LLC",42828.29167,42.2243735,-104.692557,,,
2017,WEST TEXAS GULF PIPELINE CO,42827.1875,32.15327,-97.374263,,,
